"Netz-Code";"Netzname";"Pad-Anzahl";"Via-Anzahl";"Via-Länge";"Leiterbahnlänge";"Die-Länge";"Netzlänge";
169;"/Memory/MMDC_BA0";3;4;6,0776 mm;40,8193 mm;0,0000 mm;46,8969 mm;
170;"/Memory/MMDC_A3";3;4;6,0776 mm;62,9399 mm;0,0000 mm;69,0175 mm;
171;"/Memory/MMDC_CKE0";2;1;1,5194 mm;0,6157 mm;0,0000 mm;2,1351 mm;
172;"/Memory/MMDC_A10";3;5;7,5970 mm;54,7594 mm;0,0000 mm;62,3564 mm;
173;"/Memory/MMDC_~{RAS}";3;5;7,5970 mm;51,6522 mm;0,0000 mm;59,2492 mm;
179;"/Memory/MMDC_~{CS0}";2;2;3,0388 mm;17,0956 mm;0,0000 mm;20,1344 mm;
180;"Net-(R11-Pad1)";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
181;"Net-(C90-Pad2)";5;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
193;"/Memory/MMDC_CLK_P";3;5;7,5970 mm;49,2501 mm;0,0000 mm;56,8471 mm;
194;"/Memory/MMDC_CLK_N";3;3;4,5582 mm;52,0786 mm;0,0000 mm;56,6368 mm;
195;"/Memory/MMDC_D13";3;5;7,5970 mm;42,0245 mm;0,0000 mm;49,6215 mm;
196;"/Memory/MMDC_D12";3;3;4,5582 mm;49,5045 mm;0,0000 mm;54,0627 mm;
207;"/Memory/MMDC_D15";3;4;6,0776 mm;37,5886 mm;0,0000 mm;43,6662 mm;
208;"/Memory/MMDC_D14";3;4;6,0776 mm;37,2377 mm;0,0000 mm;43,3153 mm;
209;"/Memory/MMDC_D11";3;5;7,5970 mm;44,2152 mm;0,0000 mm;51,8122 mm;
215;"Net-(C93-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
216;"Net-(C94-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
217;"/Memory/MMDC_D0";3;5;7,5970 mm;55,6835 mm;0,0000 mm;63,2805 mm;
218;"/Memory/MMDC_D6";3;5;7,5970 mm;56,8838 mm;0,0000 mm;64,4808 mm;
219;"/Memory/MMDC_D2";3;4;6,0776 mm;56,9349 mm;0,0000 mm;63,0125 mm;
220;"Net-(C101-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
221;"/Memory/MMDC_D5";3;4;6,0776 mm;60,5426 mm;0,0000 mm;66,6202 mm;
225;"/Memory/SD1_CD";1;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
